OID,DCA_Code,Common_Name,Scientific_Name,Category
-1,14023,leucaena psyllid,Heteropsylla cubana,Sap Feeders
-1,14024,honeysuckle aphids,Hyadaphis tataricae,Sap Feeders
-1,14025,Egyptian fluted scale,Icerya aegyptiaca,Sap Feeders
-1,14026,Lecanium scale,Lecanium spp.,Sap Feeders
-1,14027,common falsepit scale,Lecanodiaspis prosopidis,Sap Feeders
-1,14028,oystershell scale,Lepidosaphes ulmi,Sap Feeders
-1,14029,pinyon needle scale,Matsucoccus acalyptus,Sap Feeders
-1,14030,ponderosa pine twig scale,Matsucoccus bisetosus,Sap Feeders
-1,14031,pine twig scale,Matsucoccus californicus,Sap Feeders
-1,14032,ponderosa pine scale,Matsucoccus degeneratus,Sap Feeders
-1,14033,red pine scale,Matsucoccus resinosae,Sap Feeders
-1,14034,Prescott scale,Matsucoccus vexillorum,Sap Feeders
-1,14035,treehoopers,<Membracidae>,Sap Feeders
-1,14036,hibiscus psyllid,Mesohomotoma hibisci,Sap Feeders
-1,14037,balsam twig aphid,Mindarus abietinus,Sap Feeders
-1,14038,hibiscus mealybug,Nipaecoccus viridis,Sap Feeders
-1,14039,black pineleaf scale,Nuculaspis californica,Sap Feeders
-1,14040,spruce spider mite,Oligonychus ununguis,Sap Feeders
-1,14042,woolly alder aphid,Paraprociphilus tessellatus,Sap Feeders
-1,14043,maple aphids,Periphyllus spp.,Sap Feeders
-1,14044,spruce bud scale,Physokermes piceae,Sap Feeders
-1,14045,red pine adelgid,Pineus borneri,Sap Feeders
-1,14046,pine leaf adelgid,Pineus pinifoliae,Sap Feeders
-1,14047,white pine adelgid,"Pineus spp.
",Sap Feeders
-1,14048,pine bark adelgid,Pineus strobi,Sap Feeders
-1,14049,smoky-winged ash aphid,Prociphilus americanus,Sap Feeders
-1,14050,mealybug,<Pseudococcidae>,Sap Feeders
